No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,wnd_dir
25,2010,1,2,0,129.0,-16,-4.0,1020.0,1.79,0,0,2
26,2010,1,2,1,148.0,-15,-4.0,1020.0,2.68,0,0,2
27,2010,1,2,2,159.0,-11,-5.0,1021.0,3.57,0,0,2
28,2010,1,2,3,181.0,-7,-5.0,1022.0,5.36,1,0,2
29,2010,1,2,4,138.0,-7,-5.0,1022.0,6.25,2,0,2
30,2010,1,2,5,109.0,-7,-6.0,1022.0,7.14,3,0,2
31,2010,1,2,6,105.0,-7,-6.0,1023.0,8.93,4,0,2
32,2010,1,2,7,124.0,-7,-5.0,1024.0,10.72,0,0,2
33,2010,1,2,8,120.0,-8,-6.0,1024.0,12.51,0,0,2
34,2010,1,2,9,132.0,-7,-5.0,1025.0,14.3,0,0,2
35,2010,1,2,10,140.0,-7,-5.0,1026.0,17.43,1,0,2
36,2010,1,2,11,152.0,-8,-5.0,1026.0,20.56,0,0,2
37,2010,1,2,12,148.0,-8,-5.0,1026.0,23.69,0,0,2
38,2010,1,2,13,164.0,-8,-5.0,1025.0,27.71,0,0,2
39,2010,1,2,14,158.0,-9,-5.0,1025.0,31.73,0,0,2
40,2010,1,2,15,154.0,-9,-5.0,1025.0,35.75,0,0,2
41,2010,1,2,16,159.0,-9,-5.0,1026.0,37.54,0,0,2
42,2010,1,2,17,164.0,-8,-5.0,1027.0,39.33,0,0,2
43,2010,1,2,18,170.0,-8,-5.0,1027.0,42.46,0,0,2
44,2010,1,2,19,149.0,-8,-5.0,1028.0,44.25,0,0,2
45,2010,1,2,20,154.0,-7,-5.0,1028.0,46.04,0,0,2
46,2010,1,2,21,164.0,-7,-5.0,1027.0,49.17,1,0,2
47,2010,1,2,22,156.0,-8,-6.0,1028.0,52.3,2,0,2
48,2010,1,2,23,126.0,-8,-6.0,1027.0,55.43,3,0,2
49,2010,1,3,0,90.0,-7,-6.0,1027.0,58.56,4,0,2
50,2010,1,3,1,63.0,-8,-6.0,1026.0,61.69,5,0,2
51,2010,1,3,2,65.0,-8,-7.0,1026.0,65.71,6,0,2
52,2010,1,3,3,55.0,-8,-7.0,1025.0,68.84,7,0,2
53,2010,1,3,4,65.0,-8,-7.0,1024.0,72.86,8,0,2
54,2010,1,3,5,83.0,-9,-8.0,1024.0,76.88,9,0,2
55,2010,1,3,6,91.0,-10,-8.0,1024.0,80.9,10,0,2
56,2010,1,3,7,86.0,-10,-9.0,1024.0,84.92,11,0,2
57,2010,1,3,8,82.0,-10,-9.0,1024.0,89.84,12,0,2
58,2010,1,3,9,86.0,-11,-9.0,1023.0,93.86,13,0,2
59,2010,1,3,10,78.0,-11,-9.0,1023.0,97.88,15,0,2
60,2010,1,3,11,98.0,-11,-9.0,1022.0,102.8,16,0,2
61,2010,1,3,12,107.0,-11,-9.0,1021.0,105.93,17,0,2
62,2010,1,3,13,90.0,-11,-9.0,1020.0,111.74,19,0,2
63,2010,1,3,14,96.0,-11,-9.0,1020.0,116.66,20,0,2
64,2010,1,3,15,95.0,-11,-9.0,1020.0,121.58,21,0,2
65,2010,1,3,16,86.0,-11,-9.0,1020.0,124.71,22,0,2
66,2010,1,3,17,70.0,-11,-9.0,1020.0,127.84,23,0,2
67,2010,1,3,18,61.0,-11,-9.0,1021.0,0.89,24,0,3
68,2010,1,3,19,53.0,-11,-9.0,1022.0,1.78,25,0,3
69,2010,1,3,20,71.0,-10,-9.0,1022.0,4.02,26,0,1
70,2010,1,3,21,72.0,-11,-10.0,1023.0,7.15,27,0,1
71,2010,1,3,22,76.0,-11,-9.0,1023.0,11.17,0,0,1
72,2010,1,3,23,73.0,-12,-11.0,1023.0,14.3,0,0,1
73,2010,1,4,0,79.0,-14,-12.0,1023.0,16.09,0,0,1
74,2010,1,4,1,58.0,-16,-9.0,1023.0,21.9,0,0,1
75,2010,1,4,2,25.0,-17,-10.0,1024.0,29.95,0,0,1
76,2010,1,4,3,26.0,-18,-11.0,1024.0,39.78,0,0,1
77,2010,1,4,4,28.0,-19,-11.0,1025.0,48.72,0,0,1
78,2010,1,4,5,26.0,-20,-12.0,1026.0,55.87,0,0,1
79,2010,1,4,6,20.0,-21,-12.0,1027.0,64.81,0,0,1
80,2010,1,4,7,29.0,-21,-13.0,1027.0,73.75,0,0,1
81,2010,1,4,8,26.0,-22,-13.0,1028.0,80.9,0,0,1
82,2010,1,4,9,27.0,-22,-13.0,1029.0,90.73,0,0,1
83,2010,1,4,10,27.0,-22,-12.0,1030.0,100.56,0,0,1
84,2010,1,4,11,25.0,-23,-12.0,1031.0,108.61,0,0,1
85,2010,1,4,12,29.0,-21,-11.0,1030.0,117.55,0,0,1
86,2010,1,4,13,32.0,-20,-10.0,1030.0,127.38,0,0,1
87,2010,1,4,14,28.0,-21,-10.0,1030.0,136.32,0,0,1
88,2010,1,4,15,29.0,-21,-9.0,1030.0,145.26,0,0,1
89,2010,1,4,16,30.0,-21,-9.0,1031.0,152.41,0,0,1
90,2010,1,4,17,30.0,-20,-11.0,1032.0,159.56,0,0,1
91,2010,1,4,18,28.0,-23,-11.0,1032.0,165.37,0,0,1
92,2010,1,4,19,26.0,-21,-12.0,1033.0,171.18,0,0,1
93,2010,1,4,20,31.0,-24,-12.0,1034.0,180.12,0,0,1
