Time Around Treatment,Treatment Number,Date,Day of Week,Hour,WorkGroup,Desk,TotalEnergy,Desk_Indicator,NetEnergy,Name,Deviation,Treatment0,Treatment1,Treatment2,Weekend_Indicator,Treatment_Indicator,cTAT,TreatmentArray,LoginCount,DurationCount
1,1,2018-07-30,Monday,0.0,WORKGROUP-01,DESK-3,383.37,13,,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,1.0,WORKGROUP-01,DESK-3,400.84,13,17.46999999999997,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,2.0,WORKGROUP-01,DESK-3,474.23,13,73.39000000000004,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,3.0,WORKGROUP-01,DESK-3,606.63,13,132.39999999999998,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,4.0,WORKGROUP-01,DESK-3,626.81,13,20.17999999999995,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,5.0,WORKGROUP-01,DESK-3,635.01,13,8.200000000000045,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,6.0,WORKGROUP-01,DESK-3,635.01,13,0.0,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,7.0,WORKGROUP-01,DESK-3,637.91,13,2.8999999999999773,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,8.0,WORKGROUP-01,DESK-3,639.78,13,1.8700000000000045,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,9.0,WORKGROUP-01,DESK-3,640.58,13,0.8000000000000682,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,10.0,WORKGROUP-01,DESK-3,1.9,13,0.0,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,11.0,WORKGROUP-01,DESK-3,2.95,13,1.0500000000000003,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,12.0,WORKGROUP-01,DESK-3,5.62,13,2.67,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,13.0,WORKGROUP-01,DESK-3,6.67,13,1.0499999999999998,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,14.0,WORKGROUP-01,DESK-3,9.349999,13,2.6799990000000005,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,15.0,WORKGROUP-01,DESK-3,11.2,13,1.850000999999999,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,16.0,WORKGROUP-01,DESK-3,12.25,13,1.0500000000000007,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,17.0,WORKGROUP-01,DESK-3,14.09,13,1.8399999999999999,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,18.0,WORKGROUP-01,DESK-3,14.89,13,0.8000000000000007,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,19.0,WORKGROUP-01,DESK-3,30.88,13,15.989999999999998,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,20.0,WORKGROUP-01,DESK-3,71.2,13,40.32000000000001,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,21.0,WORKGROUP-01,DESK-3,94.65,13,23.450000000000003,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,22.0,WORKGROUP-01,DESK-3,94.65,13,0.0,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
1,1,2018-07-30,Monday,23.0,WORKGROUP-01,DESK-3,118.21,13,23.559999999999988,Ken,169.93,A,A,B,0,0,-3,A,2.0,1.0
2,1,2018-07-31,Tuesday,0.0,WORKGROUP-01,DESK-3,129.24,13,11.030000000000015,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,1.0,WORKGROUP-01,DESK-3,142.53,13,13.289999999999992,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
2,1,2018-07-31,Tuesday,2.0,WORKGROUP-01,DESK-3,142.53,13,0.0,Ken,169.93,A,A,B,0,0,-2,A,1.0,0.0
