,Action Vector,Energy Used
0,"[[6.2950196]
 [5.984989 ]
 [6.3569784]
 [8.6183605]
 [7.875433 ]
 [9.798399 ]
 [9.824015 ]
 [9.894125 ]
 [9.200312 ]
 [9.570742 ]]","[ 95.          95.         196.1208318  210.43101869 167.50045803
 267.67176624 365.         353.53288757 224.74120558 110.25971047]"
1,"[[9.826086 ]
 [4.70789  ]
 [9.803369 ]
 [8.7110195]
 [8.123768 ]
 [9.948436 ]
 [8.17547  ]
 [7.48292  ]
 [4.3760486]
 [8.832342 ]]","[ 95.          95.         196.38854419 210.40127287 168.36308684
 266.45218757 365.         350.52855962 224.41400154 112.31217214]"
2,"[[8.574602 ]
 [8.076961 ]
 [2.3320818]
 [7.517907 ]
 [9.079047 ]
 [7.6957917]
 [8.302091 ]
 [8.169765 ]
 [4.538457 ]
 [9.197521 ]]","[ 95.          95.         196.0659614  210.4371154  167.32365341
 267.92173138 365.         354.14865536 224.8082694  109.83903743]"
3,"[[8.624101  ]
 [8.9601755 ]
 [2.9290013 ]
 [0.24685287]
 [6.190119  ]
 [3.7758532 ]
 [7.1262293 ]
 [9.544617  ]
 [2.0812182 ]
 [5.7819533 ]]","[ 95.          95.         193.6844547  210.70172726 159.64990958
 278.77081748 365.         365.         227.71899981  95.        ]"
4,"[[7.560771 ]
 [6.398978 ]
 [5.2224536]
 [6.0174103]
 [8.163972 ]
 [7.408516 ]
 [3.056633 ]
 [7.5896015]
 [6.085597 ]
 [8.029188 ]]","[ 95.          95.         194.55806077 210.60465991 162.4648625
 274.79105647 365.         365.         226.65125905  98.27846594]"
5,"[[7.148465 ]
 [7.018933 ]
 [6.6849937]
 [4.209894 ]
 [6.75735  ]
 [6.1263747]
 [5.968112 ]
 [5.6377726]
 [4.921635 ]
 [6.1388383]]","[ 95.          95.         192.05649735 210.88261141 154.40426923
 286.18706764 365.         365.         229.70872546  95.        ]"
6,"[[4.4263296]
 [4.56916  ]
 [5.717038 ]
 [5.7363462]
 [5.418086 ]
 [6.7304873]
 [5.656005 ]
 [7.1422405]
 [4.555768 ]
 [5.789419 ]]","[ 95.          95.         192.01731288 210.88696524 154.27800817
 286.36557466 365.         365.         229.75661759  95.        ]"
7,"[[6.453267 ]
 [6.112301 ]
 [7.1853933]
 [4.955788 ]
 [5.714734 ]
 [4.4502287]
 [7.6183443]
 [5.0124674]
 [4.041297 ]
 [3.2899582]]","[ 95.          95.         191.90912751 210.89898583 153.92941087
 286.85841912 365.         365.         229.88884415  95.        ]"
8,"[[6.6000986]
 [7.37987  ]
 [5.5791526]
 [5.61621  ]
 [4.298755 ]
 [5.2666674]
 [6.9339952]
 [5.7729363]
 [5.0811205]
 [6.607162 ]]","[ 95.          95.         192.92264918 210.78637231 157.19520293
 282.24126483 365.         365.         228.65009544  95.        ]"
9,"[[5.6564136]
 [5.1480894]
 [5.9852285]
 [5.344741 ]
 [5.9445295]
 [6.3287544]
 [5.739882 ]
 [5.0265446]
 [5.140894 ]
 [5.6587186]]","[ 95.          95.         192.39697199 210.84478089 155.50135419
 284.63601649 365.         365.         229.29258979  95.        ]"
10,"[[4.993904 ]
 [5.377384 ]
 [5.5823555]
 [4.4471307]
 [5.3556433]
 [4.244131 ]
 [5.1117616]
 [4.4949203]
 [4.2213135]
 [3.9267547]]","[ 95.          95.         192.01413509 210.88731832 154.26776862
 286.38005126 365.         365.         229.76050156  95.        ]"
11,"[[5.3022294]
 [4.636362 ]
 [4.2758346]
 [5.1941223]
 [4.8771057]
 [4.779328 ]
 [4.4702034]
 [4.935507 ]
 [5.6267805]
 [5.5807853]]","[ 95.          95.         197.38323114 210.2907521  171.56818922
 261.92083593 365.         339.36596169 223.19827306 119.93810538]"
12,"[[5.03867  ]
 [4.500751 ]
 [4.8104887]
 [4.004368 ]
 [4.515709 ]
 [4.663704 ]
 [5.2460127]
 [4.5626454]
 [4.1372514]
 [4.689276 ]]","[ 95.          95.         192.04891012 210.88345443 154.3798215
 286.22163168 365.         365.         229.71799874  95.        ]"
13,"[[4.444358 ]
 [5.098439 ]
 [4.8366547]
 [5.8676753]
 [5.108377 ]
 [5.1980443]
 [4.1925244]
 [5.6724067]
 [4.740286 ]
 [4.3854256]]","[ 95.          95.         193.56802797 210.71466356 159.2747568
 279.30120591 365.         365.         227.86129915  95.        ]"
