,Hour,Point,Energy
0,0,5.590516090393066,95.0
1,1,5.148961544036865,120.0
2,2,1.3589110374450684,200.0
3,3,9.050310134887695,210.0
4,4,2.2935690879821777,180.0
5,5,1.2481746673583984,250.0
6,6,7.6981401443481445,365.0
7,7,2.096062183380127,310.0
8,8,5.362769603729248,220.0
9,9,4.721947193145752,140.0
10,0,3.8538341522216797,95.0
11,1,8.163859367370605,120.0
12,2,1.2931561470031738,200.0
13,3,5.275346755981445,210.0
14,4,1.7265942096710205,180.0
15,5,2.244950532913208,250.0
16,6,6.501279830932617,365.0
17,7,0.4005470275878906,310.0
18,8,9.0546293258667,220.0
19,9,7.698075294494629,140.0
20,0,6.014372825622559,95.0
21,1,4.418612480163574,120.0
22,2,2.909684896469116,200.0
23,3,5.344985485076904,210.0
24,4,9.354637145996094,180.0
25,5,9.108333587646484,250.0
26,6,2.8916945457458496,365.0
27,7,5.594221115112305,310.0
28,8,6.114293098449707,220.0
29,9,8.268449783325195,140.0
30,0,3.4796676635742188,95.0
31,1,0.9579977989196777,120.0
32,2,3.650947093963623,200.0
33,3,2.791320323944092,210.0
34,4,4.8444294929504395,180.0
35,5,0.6750760078430176,250.0
36,6,3.7345728874206543,365.0
37,7,5.780833721160889,310.0
38,8,8.035533905029297,220.0
39,9,7.880599498748779,140.0
40,0,2.1348001956939697,95.0
41,1,2.8979358673095703,120.0
42,2,1.432081699371338,200.0
43,3,4.857494354248047,210.0
44,4,3.2654876708984375,180.0
45,5,2.764986991882324,250.0
46,6,3.3702456951141357,365.0
47,7,4.00870943069458,310.0
48,8,1.2480945587158203,220.0
49,9,6.1144819259643555,140.0
50,0,3.3182754516601562,95.0
51,1,0.8324108123779297,120.0
52,2,4.376760005950928,200.0
53,3,1.580087661743164,210.0
54,4,2.12453031539917,180.0
55,5,1.2693967819213867,250.0
56,6,1.4594485759735107,365.0
57,7,2.5337066650390625,310.0
58,8,1.5780558586120605,220.0
59,9,1.1112141609191895,140.0
60,0,1.856391429901123,95.0
61,1,0.6266303062438965,120.0
62,2,1.8842127323150635,200.0
63,3,2.496359348297119,210.0
64,4,1.4588758945465088,180.0
65,5,2.055448055267334,250.0
66,6,4.197329998016357,365.0
67,7,5.60933256149292,310.0
68,8,2.4084954261779785,220.0
69,9,1.8579425811767578,140.0
70,0,1.8623175621032715,95.0
71,1,3.8368496894836426,120.0
72,2,1.7261970043182373,200.0
73,3,2.353694438934326,210.0
74,4,1.9593844413757324,180.0
75,5,2.5531811714172363,250.0
76,6,4.347517013549805,365.0
77,7,2.037240505218506,310.0
78,8,1.7475674152374268,220.0
79,9,2.122748374938965,140.0
80,0,1.442061424255371,95.0
81,1,1.68833589553833,120.0
82,2,1.9327938556671143,200.0
83,3,3.6908750534057617,210.0
84,4,2.1922457218170166,180.0
85,5,2.2431633472442627,250.0
86,6,3.513054847717285,365.0
87,7,1.4644274711608887,310.0
88,8,3.3875036239624023,220.0
89,9,2.8418643474578857,140.0
90,0,1.6533632278442383,95.0
91,1,2.6152539253234863,120.0
92,2,3.1464552879333496,200.0
93,3,3.565795421600342,210.0
94,4,2.883256673812866,180.0
95,5,2.833120107650757,250.0
96,6,4.161876201629639,365.0
97,7,3.4516701698303223,310.0
98,8,2.5474681854248047,220.0
99,9,3.6836509704589844,140.0
100,0,3.556532621383667,95.0
101,1,2.1756110191345215,120.0
102,2,2.474236011505127,200.0
103,3,2.1313347816467285,210.0
104,4,2.586529493331909,180.0
105,5,3.7179994583129883,250.0
106,6,1.5605499744415283,365.0
107,7,2.6736183166503906,310.0
108,8,1.6853089332580566,220.0
109,9,3.3264827728271484,140.0
110,0,1.78373122215271,95.0
