Date,Hour,Name,WorkGroup,PreSurvey
2018-08-02,0,Ken,WORKGROUP-01,2.99
2018-08-02,1,Ken,WORKGROUP-01,2.99
2018-08-02,2,Ken,WORKGROUP-01,2.99
2018-08-02,3,Ken,WORKGROUP-01,2.99
2018-08-02,4,Ken,WORKGROUP-01,2.99
2018-08-02,5,Ken,WORKGROUP-01,2.99
2018-08-02,6,Ken,WORKGROUP-01,2.99
2018-08-02,7,Ken,WORKGROUP-01,2.99
2018-08-02,8,Ken,WORKGROUP-01,2.99
2018-08-02,9,Ken,WORKGROUP-01,2.99
2018-08-02,10,Ken,WORKGROUP-01,2.99
2018-08-02,11,Ken,WORKGROUP-01,2.99
2018-08-02,12,Ken,WORKGROUP-01,2.99
2018-08-02,13,Ken,WORKGROUP-01,2.99
2018-08-02,14,Ken,WORKGROUP-01,2.99
2018-08-02,15,Ken,WORKGROUP-01,2.99
2018-08-02,16,Ken,WORKGROUP-01,2.99
2018-08-02,17,Ken,WORKGROUP-01,2.99
2018-08-02,18,Ken,WORKGROUP-01,2.99
2018-08-02,19,Ken,WORKGROUP-01,2.99
2018-08-02,20,Ken,WORKGROUP-01,2.99
2018-08-02,21,Ken,WORKGROUP-01,2.99
2018-08-02,22,Ken,WORKGROUP-01,2.99
2018-08-02,23,Ken,WORKGROUP-01,2.99
2018-08-03,0,Ken,WORKGROUP-01,2.99
2018-08-03,1,Ken,WORKGROUP-01,2.99
2018-08-03,2,Ken,WORKGROUP-01,2.99
2018-08-03,3,Ken,WORKGROUP-01,2.99
2018-08-03,4,Ken,WORKGROUP-01,2.99
2018-08-03,5,Ken,WORKGROUP-01,2.99
2018-08-03,6,Ken,WORKGROUP-01,2.99
2018-08-03,7,Ken,WORKGROUP-01,2.99
2018-08-03,8,Ken,WORKGROUP-01,2.99
2018-08-03,9,Ken,WORKGROUP-01,2.99
2018-08-03,10,Ken,WORKGROUP-01,2.99
2018-08-03,11,Ken,WORKGROUP-01,2.99
2018-08-03,12,Ken,WORKGROUP-01,2.99
