date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-09-20 00:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,6,27,83,0.0,1010,25,10,46,4,singapore
2018-09-20 01:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,6,26,83,0.0,1010,25,10,50,4,singapore
2018-09-20 02:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,5,25,83,0.0,1010,25,10,54,3,singapore
2018-09-20 03:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,5,25,83,0.0,1009,25,10,58,3,singapore
2018-09-20 04:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,4,28,82,0.0,1010,25,10,42,3,singapore
2018-09-20 05:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,4,31,81,0.0,1010,26,10,25,3,singapore
2018-09-20 06:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,31,31,27,3,34,79,0.0,1010,26,10,9,3,singapore
2018-09-20 07:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,33,33,29,3,42,71,0.0,1010,28,10,123,2,singapore
2018-09-20 08:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,31,2,50,62,0.2,1011,31,10,237,2,singapore
2018-09-20 09:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,38,38,33,2,59,54,0.3,1011,33,10,351,1,singapore
2018-09-20 10:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,37,37,32,4,58,57,0.1,1010,32,10,299,4,singapore
2018-09-20 11:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,31,7,57,61,0.0,1010,31,10,247,6,singapore
2018-09-20 12:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,35,35,31,10,56,65,0.0,1009,30,10,195,8,singapore
2018-09-20 13:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,35,35,31,10,52,65,0.0,1009,30,9,176,8,singapore
2018-09-20 14:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,35,35,30,11,47,64,0.9,1008,30,8,158,8,singapore
2018-09-20 15:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,35,35,30,11,43,64,1.2,1007,30,7,139,7,singapore
2018-09-20 16:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,33,33,29,9,50,68,0.6,1008,29,8,114,6,singapore
2018-09-20 17:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,31,31,28,7,57,72,0.0,1009,28,9,89,4,singapore
2018-09-20 18:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,22,30,30,27,5,63,76,0.0,1009,27,10,64,3,singapore
2018-09-20 19:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,6,70,78,0.0,1010,26,10,65,4,singapore
2018-09-20 20:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,27,8,77,80,0.5,1010,26,10,66,5,singapore
2018-09-20 21:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,9,84,83,0.7,1011,26,10,67,5,singapore
2018-09-20 22:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,8,80,83,0.3,1011,26,10,81,4,singapore
2018-09-20 23:00:00,33,25,0.0,10.3,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,26,6,75,83,0.0,1010,26,10,94,3,singapore
