Id	TimeStamp	WG_1_DSK_3	TOTAL_ENERGY_DESK_TODAY
1	7/30/2018 12:00:00 AM	DESK-3	383.37
2	7/30/2018 12:15:00 AM	DESK-3	387.7375
3	7/30/2018 12:30:00 AM	DESK-3	392.105
4	7/30/2018 12:45:00 AM	DESK-3	396.4725
5	7/30/2018 1:00:00 AM	DESK-3	400.84
6	7/30/2018 1:15:00 AM	DESK-3	419.1875
7	7/30/2018 1:30:00 AM	DESK-3	437.535
8	7/30/2018 1:45:00 AM	DESK-3	455.8825
9	7/30/2018 2:00:00 AM	DESK-3	474.23
10	7/30/2018 2:15:00 AM	DESK-3	507.33
11	7/30/2018 2:30:00 AM	DESK-3	540.43
12	7/30/2018 2:45:00 AM	DESK-3	573.53
13	7/30/2018 3:00:00 AM	DESK-3	606.63
14	7/30/2018 3:15:00 AM	DESK-3	611.675
15	7/30/2018 3:30:00 AM	DESK-3	616.72
16	7/30/2018 3:45:00 AM	DESK-3	621.765
17	7/30/2018 4:00:00 AM	DESK-3	626.81
18	7/30/2018 4:15:00 AM	DESK-3	628.86
19	7/30/2018 4:30:00 AM	DESK-3	630.91
20	7/30/2018 4:45:00 AM	DESK-3	632.96
21	7/30/2018 5:00:00 AM	DESK-3	635.01
22	7/30/2018 5:15:00 AM	DESK-3	635.01
23	7/30/2018 5:30:00 AM	DESK-3	635.01
24	7/30/2018 5:45:00 AM	DESK-3	635.01
25	7/30/2018 6:00:00 AM	DESK-3	635.01
26	7/30/2018 6:15:00 AM	DESK-3	635.735
27	7/30/2018 6:30:00 AM	DESK-3	636.46
28	7/30/2018 6:45:00 AM	DESK-3	637.185
29	7/30/2018 7:00:00 AM	DESK-3	637.91
30	7/30/2018 7:15:00 AM	DESK-3	638.3774
31	7/30/2018 7:30:00 AM	DESK-3	638.845
32	7/30/2018 7:45:00 AM	DESK-3	639.3125
33	7/30/2018 8:00:00 AM	DESK-3	639.78
34	7/30/2018 8:15:00 AM	DESK-3	639.98
35	7/30/2018 8:30:00 AM	DESK-3	640.18
36	7/30/2018 8:45:00 AM	DESK-3	640.38
37	7/30/2018 9:00:00 AM	DESK-3	640.58
38	7/30/2018 9:15:00 AM	DESK-3	480.91
39	7/30/2018 9:30:00 AM	DESK-3	321.24
40	7/30/2018 9:45:00 AM	DESK-3	161.57
41	7/30/2018 10:00:00 AM	DESK-3	1.9
42	7/30/2018 10:15:00 AM	DESK-3	2.1625
43	7/30/2018 10:30:00 AM	DESK-3	2.425
44	7/30/2018 10:45:00 AM	DESK-3	2.6875
45	7/30/2018 11:00:00 AM	DESK-3	2.95
46	7/30/2018 11:15:00 AM	DESK-3	3.6175
47	7/30/2018 11:30:00 AM	DESK-3	4.285
48	7/30/2018 11:45:00 AM	DESK-3	4.9525
49	7/30/2018 12:00:00 PM	DESK-3	5.62
50	7/30/2018 12:15:00 PM	DESK-3	5.8825
51	7/30/2018 12:30:00 PM	DESK-3	6.145
52	7/30/2018 12:45:00 PM	DESK-3	6.4075
53	7/30/2018 1:00:00 PM	DESK-3	6.67
54	7/30/2018 1:15:00 PM	DESK-3	7.34
55	7/30/2018 1:30:00 PM	DESK-3	8.009999
56	7/30/2018 1:45:00 PM	DESK-3	8.679999
57	7/30/2018 2:00:00 PM	DESK-3	9.349999
58	7/30/2018 2:15:00 PM	DESK-3	9.8125
59	7/30/2018 2:30:00 PM	DESK-3	10.275
60	7/30/2018 2:45:00 PM	DESK-3	10.7375
61	7/30/2018 3:00:00 PM	DESK-3	11.2
62	7/30/2018 3:15:00 PM	DESK-3	11.4625
63	7/30/2018 3:30:00 PM	DESK-3	11.725
64	7/30/2018 3:45:00 PM	DESK-3	11.9875
65	7/30/2018 4:00:00 PM	DESK-3	12.25
66	7/30/2018 4:15:00 PM	DESK-3	12.71
67	7/30/2018 4:30:00 PM	DESK-3	13.17
68	7/30/2018 4:45:00 PM	DESK-3	13.63
69	7/30/2018 5:00:00 PM	DESK-3	14.09
70	7/30/2018 5:15:00 PM	DESK-3	14.29
71	7/30/2018 5:30:00 PM	DESK-3	14.49
72	7/30/2018 5:45:00 PM	DESK-3	14.69
73	7/30/2018 6:00:00 PM	DESK-3	14.89
74	7/30/2018 6:15:00 PM	DESK-3	18.8875
75	7/30/2018 6:30:00 PM	DESK-3	22.885
76	7/30/2018 6:45:00 PM	DESK-3	26.8825
77	7/30/2018 7:00:00 PM	DESK-3	30.88
78	7/30/2018 7:15:00 PM	DESK-3	40.96
79	7/30/2018 7:30:00 PM	DESK-3	51.04
80	7/30/2018 7:45:00 PM	DESK-3	61.12
81	7/30/2018 8:00:00 PM	DESK-3	71.2
82	7/30/2018 8:15:00 PM	DESK-3	77.0625
83	7/30/2018 8:30:00 PM	DESK-3	82.925
84	7/30/2018 8:45:00 PM	DESK-3	88.78751
85	7/30/2018 9:00:00 PM	DESK-3	94.65
86	7/30/2018 9:15:00 PM	DESK-3	94.65
87	7/30/2018 9:30:00 PM	DESK-3	94.65
88	7/30/2018 9:45:00 PM	DESK-3	94.65
89	7/30/2018 10:00:00 PM	DESK-3	94.65
90	7/30/2018 10:15:00 PM	DESK-3	100.54
91	7/30/2018 10:30:00 PM	DESK-3	106.43
92	7/30/2018 10:45:00 PM	DESK-3	112.32
93	7/30/2018 11:00:00 PM	DESK-3	118.21
94	7/30/2018 11:15:00 PM	DESK-3	120.9675
95	7/30/2018 11:30:00 PM	DESK-3	123.725
96	7/30/2018 11:45:00 PM	DESK-3	126.4825
97	7/31/2018 12:00:00 AM	DESK-3	129.24
98	7/31/2018 12:15:00 AM	DESK-3	132.5625
99	7/31/2018 12:30:00 AM	DESK-3	135.885
100	7/31/2018 12:45:00 AM	DESK-3	139.2075
101	7/31/2018 1:00:00 AM	DESK-3	142.53
102	7/31/2018 1:15:00 AM	DESK-3	142.53
103	7/31/2018 1:30:00 AM	DESK-3	142.53
104	7/31/2018 1:45:00 AM	DESK-3	142.53
105	7/31/2018 2:00:00 AM	DESK-3	142.53
106	7/31/2018 2:15:00 AM	DESK-3	180.165
107	7/31/2018 2:30:00 AM	DESK-3	217.8
108	7/31/2018 2:45:00 AM	DESK-3	255.435
109	7/31/2018 3:00:00 AM	DESK-3	293.07
110	7/31/2018 3:15:00 AM	DESK-3	298.34
111	7/31/2018 3:30:00 AM	DESK-3	303.61
112	7/31/2018 3:45:00 AM	DESK-3	308.88
113	7/31/2018 4:00:00 AM	DESK-3	314.15
114	7/31/2018 4:15:00 AM	DESK-3	345.6275
115	7/31/2018 4:30:00 AM	DESK-3	377.105
116	7/31/2018 4:45:00 AM	DESK-3	408.5825
117	7/31/2018 5:00:00 AM	DESK-3	440.06
118	7/31/2018 5:15:00 AM	DESK-3	440.3825
119	7/31/2018 5:30:00 AM	DESK-3	440.705
120	7/31/2018 5:45:00 AM	DESK-3	441.0275
121	7/31/2018 6:00:00 AM	DESK-3	441.35
122	7/31/2018 6:15:00 AM	DESK-3	441.9425
123	7/31/2018 6:30:00 AM	DESK-3	442.535
124	7/31/2018 6:45:00 AM	DESK-3	443.1275
125	7/31/2018 7:00:00 AM	DESK-3	443.72
126	7/31/2018 7:15:00 AM	DESK-3	443.72
127	7/31/2018 7:30:00 AM	DESK-3	443.72
128	7/31/2018 7:45:00 AM	DESK-3	443.72
