Id	TimeStamp	WG_2_DESK-1	TOTAL_ENERGY_DESK_TODAY
1	7/30/2018 12:00:00 AM	DESK-1	215.15
2	7/30/2018 12:15:00 AM	DESK-1	219.2925
3	7/30/2018 12:30:00 AM	DESK-1	223.435
4	7/30/2018 12:45:00 AM	DESK-1	227.5775
5	7/30/2018 1:00:00 AM	DESK-1	231.72
6	7/30/2018 1:15:00 AM	DESK-1	238.8625
7	7/30/2018 1:30:00 AM	DESK-1	246.005
8	7/30/2018 1:45:00 AM	DESK-1	253.1475
9	7/30/2018 2:00:00 AM	DESK-1	260.29
10	7/30/2018 2:15:00 AM	DESK-1	262.0775
11	7/30/2018 2:30:00 AM	DESK-1	263.865
12	7/30/2018 2:45:00 AM	DESK-1	265.6525
13	7/30/2018 3:00:00 AM	DESK-1	267.44
14	7/30/2018 3:15:00 AM	DESK-1	267.56
15	7/30/2018 3:30:00 AM	DESK-1	267.68
16	7/30/2018 3:45:00 AM	DESK-1	267.8
17	7/30/2018 4:00:00 AM	DESK-1	267.92
18	7/30/2018 4:15:00 AM	DESK-1	268.02
19	7/30/2018 4:30:00 AM	DESK-1	268.12
20	7/30/2018 4:45:00 AM	DESK-1	268.22
21	7/30/2018 5:00:00 AM	DESK-1	268.32
22	7/30/2018 5:15:00 AM	DESK-1	268.42
23	7/30/2018 5:30:00 AM	DESK-1	268.52
24	7/30/2018 5:45:00 AM	DESK-1	268.62
25	7/30/2018 6:00:00 AM	DESK-1	268.72
26	7/30/2018 6:15:00 AM	DESK-1	268.82
27	7/30/2018 6:30:00 AM	DESK-1	268.92
28	7/30/2018 6:45:00 AM	DESK-1	269.02
29	7/30/2018 7:00:00 AM	DESK-1	269.12
30	7/30/2018 7:15:00 AM	DESK-1	269.22
31	7/30/2018 7:30:00 AM	DESK-1	269.32
32	7/30/2018 7:45:00 AM	DESK-1	269.42
33	7/30/2018 8:00:00 AM	DESK-1	269.52
34	7/30/2018 8:15:00 AM	DESK-1	202.5025
35	7/30/2018 8:30:00 AM	DESK-1	135.485
36	7/30/2018 8:45:00 AM	DESK-1	68.46751
37	7/30/2018 9:00:00 AM	DESK-1	1.45
38	7/30/2018 9:15:00 AM	DESK-1	1.1875
39	7/30/2018 9:30:00 AM	DESK-1	0.925
40	7/30/2018 9:45:00 AM	DESK-1	0.6625
41	7/30/2018 10:00:00 AM	DESK-1	0.4
42	7/30/2018 10:15:00 AM	DESK-1	0.52
43	7/30/2018 10:30:00 AM	DESK-1	0.64
44	7/30/2018 10:45:00 AM	DESK-1	0.76
45	7/30/2018 11:00:00 AM	DESK-1	0.88
46	7/30/2018 11:15:00 AM	DESK-1	0.98
47	7/30/2018 11:30:00 AM	DESK-1	1.08
48	7/30/2018 11:45:00 AM	DESK-1	1.18
49	7/30/2018 12:00:00 PM	DESK-1	1.28
50	7/30/2018 12:15:00 PM	DESK-1	1.38
51	7/30/2018 12:30:00 PM	DESK-1	1.48
52	7/30/2018 12:45:00 PM	DESK-1	1.58
53	7/30/2018 1:00:00 PM	DESK-1	1.68
54	7/30/2018 1:15:00 PM	DESK-1	1.78
55	7/30/2018 1:30:00 PM	DESK-1	1.88
56	7/30/2018 1:45:00 PM	DESK-1	1.98
57	7/30/2018 2:00:00 PM	DESK-1	2.08
58	7/30/2018 2:15:00 PM	DESK-1	2.2
59	7/30/2018 2:30:00 PM	DESK-1	2.32
60	7/30/2018 2:45:00 PM	DESK-1	2.44
61	7/30/2018 3:00:00 PM	DESK-1	2.56
62	7/30/2018 3:15:00 PM	DESK-1	2.66
63	7/30/2018 3:30:00 PM	DESK-1	2.76
64	7/30/2018 3:45:00 PM	DESK-1	2.86
65	7/30/2018 4:00:00 PM	DESK-1	2.96
66	7/30/2018 4:15:00 PM	DESK-1	3.06
67	7/30/2018 4:30:00 PM	DESK-1	3.16
68	7/30/2018 4:45:00 PM	DESK-1	3.26
69	7/30/2018 5:00:00 PM	DESK-1	3.36
70	7/30/2018 5:15:00 PM	DESK-1	8.0275
71	7/30/2018 5:30:00 PM	DESK-1	12.695
72	7/30/2018 5:45:00 PM	DESK-1	17.3625
73	7/30/2018 6:00:00 PM	DESK-1	22.03
74	7/30/2018 6:15:00 PM	DESK-1	24.6925
75	7/30/2018 6:30:00 PM	DESK-1	27.355
76	7/30/2018 6:45:00 PM	DESK-1	30.0175
77	7/30/2018 7:00:00 PM	DESK-1	32.68
78	7/30/2018 7:15:00 PM	DESK-1	33.4
79	7/30/2018 7:30:00 PM	DESK-1	34.12
80	7/30/2018 7:45:00 PM	DESK-1	34.84
81	7/30/2018 8:00:00 PM	DESK-1	35.56
82	7/30/2018 8:15:00 PM	DESK-1	42.565
83	7/30/2018 8:30:00 PM	DESK-1	49.57
84	7/30/2018 8:45:00 PM	DESK-1	56.575
85	7/30/2018 9:00:00 PM	DESK-1	63.58
86	7/30/2018 9:15:00 PM	DESK-1	65.1175
87	7/30/2018 9:30:00 PM	DESK-1	66.655
88	7/30/2018 9:45:00 PM	DESK-1	68.1925
89	7/30/2018 10:00:00 PM	DESK-1	69.73
90	7/30/2018 10:15:00 PM	DESK-1	78.43501
91	7/30/2018 10:30:00 PM	DESK-1	87.14
92	7/30/2018 10:45:00 PM	DESK-1	95.845
93	7/30/2018 11:00:00 PM	DESK-1	104.55
94	7/30/2018 11:15:00 PM	DESK-1	111.1425
95	7/30/2018 11:30:00 PM	DESK-1	117.735
96	7/30/2018 11:45:00 PM	DESK-1	124.3275
97	7/31/2018 12:00:00 AM	DESK-1	130.92
98	7/31/2018 12:15:00 AM	DESK-1	135.315
99	7/31/2018 12:30:00 AM	DESK-1	139.71
100	7/31/2018 12:45:00 AM	DESK-1	144.105
101	7/31/2018 1:00:00 AM	DESK-1	148.5
102	7/31/2018 1:15:00 AM	DESK-1	149.3775
103	7/31/2018 1:30:00 AM	DESK-1	150.255
104	7/31/2018 1:45:00 AM	DESK-1	151.1325
105	7/31/2018 2:00:00 AM	DESK-1	152.01
106	7/31/2018 2:15:00 AM	DESK-1	152.1975
107	7/31/2018 2:30:00 AM	DESK-1	152.385
108	7/31/2018 2:45:00 AM	DESK-1	152.5725
109	7/31/2018 3:00:00 AM	DESK-1	152.76
110	7/31/2018 3:15:00 AM	DESK-1	152.86
111	7/31/2018 3:30:00 AM	DESK-1	152.96
112	7/31/2018 3:45:00 AM	DESK-1	153.06
113	7/31/2018 4:00:00 AM	DESK-1	153.16
114	7/31/2018 4:15:00 AM	DESK-1	153.26
115	7/31/2018 4:30:00 AM	DESK-1	153.36
116	7/31/2018 4:45:00 AM	DESK-1	153.46
117	7/31/2018 5:00:00 AM	DESK-1	153.56
118	7/31/2018 5:15:00 AM	DESK-1	153.66
119	7/31/2018 5:30:00 AM	DESK-1	153.76
120	7/31/2018 5:45:00 AM	DESK-1	153.86
121	7/31/2018 6:00:00 AM	DESK-1	153.96
122	7/31/2018 6:15:00 AM	DESK-1	154.08
123	7/31/2018 6:30:00 AM	DESK-1	154.2
124	7/31/2018 6:45:00 AM	DESK-1	154.32
125	7/31/2018 7:00:00 AM	DESK-1	154.44
126	7/31/2018 7:15:00 AM	DESK-1	154.54
127	7/31/2018 7:30:00 AM	DESK-1	154.64
128	7/31/2018 7:45:00 AM	DESK-1	154.74
129	7/31/2018 8:00:00 AM	DESK-1	154.84
130	7/31/2018 8:15:00 AM	DESK-1	154.84
131	7/31/2018 8:30:00 AM	DESK-1	154.84
132	7/31/2018 8:45:00 AM	DESK-1	154.84
133	7/31/2018 9:00:00 AM	DESK-1	
134	7/31/2018 9:15:00 AM	DESK-1	
135	7/31/2018 9:30:00 AM	DESK-1	
136	7/31/2018 9:45:00 AM	DESK-1	
137	7/31/2018 10:00:00 AM	DESK-1	0.4
138	7/31/2018 10:15:00 AM	DESK-1	0.5
139	7/31/2018 10:30:00 AM	DESK-1	0.6
140	7/31/2018 10:45:00 AM	DESK-1	0.7
141	7/31/2018 11:00:00 AM	DESK-1	0.8
142	7/31/2018 11:15:00 AM	DESK-1	0.9
143	7/31/2018 11:30:00 AM	DESK-1	1
144	7/31/2018 11:45:00 AM	DESK-1	1.1
145	7/31/2018 12:00:00 PM	DESK-1	1.2
146	7/31/2018 12:15:00 PM	DESK-1	1.3
147	7/31/2018 12:30:00 PM	DESK-1	1.4
148	7/31/2018 12:45:00 PM	DESK-1	1.5
149	7/31/2018 1:00:00 PM	DESK-1	1.6
150	7/31/2018 1:15:00 PM	DESK-1	1.7
151	7/31/2018 1:30:00 PM	DESK-1	1.8
152	7/31/2018 1:45:00 PM	DESK-1	1.9
153	7/31/2018 2:00:00 PM	DESK-1	2
154	7/31/2018 2:15:00 PM	DESK-1	2.1
155	7/31/2018 2:30:00 PM	DESK-1	2.2
156	7/31/2018 2:45:00 PM	DESK-1	2.3
157	7/31/2018 3:00:00 PM	DESK-1	2.4
158	7/31/2018 3:15:00 PM	DESK-1	2.5
159	7/31/2018 3:30:00 PM	DESK-1	2.6
160	7/31/2018 3:45:00 PM	DESK-1	2.7
161	7/31/2018 4:00:00 PM	DESK-1	2.8
162	7/31/2018 4:15:00 PM	DESK-1	2.9
163	7/31/2018 4:30:00 PM	DESK-1	3
164	7/31/2018 4:45:00 PM	DESK-1	3.1
165	7/31/2018 5:00:00 PM	DESK-1	3.2
166	7/31/2018 5:15:00 PM	DESK-1	7.525
167	7/31/2018 5:30:00 PM	DESK-1	11.85
168	7/31/2018 5:45:00 PM	DESK-1	16.175
169	7/31/2018 6:00:00 PM	DESK-1	20.5
170	7/31/2018 6:15:00 PM	DESK-1	23.0425
171	7/31/2018 6:30:00 PM	DESK-1	25.585
172	7/31/2018 6:45:00 PM	DESK-1	28.1275
173	7/31/2018 7:00:00 PM	DESK-1	30.67
174	7/31/2018 7:15:00 PM	DESK-1	36.7675
175	7/31/2018 7:30:00 PM	DESK-1	42.865
176	7/31/2018 7:45:00 PM	DESK-1	48.9625
177	7/31/2018 8:00:00 PM	DESK-1	55.06
178	7/31/2018 8:15:00 PM	DESK-1	55.1525
179	7/31/2018 8:30:00 PM	DESK-1	55.245
180	7/31/2018 8:45:00 PM	DESK-1	55.3375
181	7/31/2018 9:00:00 PM	DESK-1	55.43
182	7/31/2018 9:15:00 PM	DESK-1	58.45
183	7/31/2018 9:30:00 PM	DESK-1	61.47
184	7/31/2018 9:45:00 PM	DESK-1	64.49001
185	7/31/2018 10:00:00 PM	DESK-1	67.51
186	7/31/2018 10:15:00 PM	DESK-1	74.1575
187	7/31/2018 10:30:00 PM	DESK-1	80.805
188	7/31/2018 10:45:00 PM	DESK-1	87.4525
189	7/31/2018 11:00:00 PM	DESK-1	94.1
190	7/31/2018 11:15:00 PM	DESK-1	94.32
191	7/31/2018 11:30:00 PM	DESK-1	94.53999
192	7/31/2018 11:45:00 PM	DESK-1	94.75999
193	8/1/2018 12:00:00 AM	DESK-1	94.98
