Id	TimeStamp	WG3_DESK-1	TOTAL_ENERGY_DESK_TODAY
1	7/30/2018 12:00:00 AM	DESK-1	1133.82
2	7/30/2018 12:15:00 AM	DESK-1	1162.9
3	7/30/2018 12:30:00 AM	DESK-1	1191.98
4	7/30/2018 12:45:00 AM	DESK-1	1221.06
5	7/30/2018 1:00:00 AM	DESK-1	1250.14
6	7/30/2018 1:15:00 AM	DESK-1	1279.213
7	7/30/2018 1:30:00 AM	DESK-1	1308.285
8	7/30/2018 1:45:00 AM	DESK-1	1337.358
9	7/30/2018 2:00:00 AM	DESK-1	1366.43
10	7/30/2018 2:15:00 AM	DESK-1	1395.177
11	7/30/2018 2:30:00 AM	DESK-1	1423.925
12	7/30/2018 2:45:00 AM	DESK-1	1452.673
13	7/30/2018 3:00:00 AM	DESK-1	1481.42
14	7/30/2018 3:15:00 AM	DESK-1	1482.915
15	7/30/2018 3:30:00 AM	DESK-1	1484.41
16	7/30/2018 3:45:00 AM	DESK-1	1485.905
17	7/30/2018 4:00:00 AM	DESK-1	1487.4
18	7/30/2018 4:15:00 AM	DESK-1	1488.01
19	7/30/2018 4:30:00 AM	DESK-1	1488.62
20	7/30/2018 4:45:00 AM	DESK-1	1489.23
21	7/30/2018 5:00:00 AM	DESK-1	1489.84
22	7/30/2018 5:15:00 AM	DESK-1	1490.45
23	7/30/2018 5:30:00 AM	DESK-1	1491.06
24	7/30/2018 5:45:00 AM	DESK-1	1491.67
25	7/30/2018 6:00:00 AM	DESK-1	1492.28
26	7/30/2018 6:15:00 AM	DESK-1	1492.873
27	7/30/2018 6:30:00 AM	DESK-1	1493.465
28	7/30/2018 6:45:00 AM	DESK-1	1494.057
29	7/30/2018 7:00:00 AM	DESK-1	1494.65
30	7/30/2018 7:15:00 AM	DESK-1	1495.155
31	7/30/2018 7:30:00 AM	DESK-1	1495.66
32	7/30/2018 7:45:00 AM	DESK-1	1496.165
33	7/30/2018 8:00:00 AM	DESK-1	1496.67
34	7/30/2018 8:15:00 AM	DESK-1	1496.67
35	7/30/2018 8:30:00 AM	DESK-1	1496.67
36	7/30/2018 8:45:00 AM	DESK-1	1496.67
37	7/30/2018 9:00:00 AM	DESK-1	
38	7/30/2018 9:15:00 AM	DESK-1	
39	7/30/2018 9:30:00 AM	DESK-1	
40	7/30/2018 9:45:00 AM	DESK-1	
41	7/30/2018 10:00:00 AM	DESK-1	2.01
42	7/30/2018 10:15:00 AM	DESK-1	2.515
43	7/30/2018 10:30:00 AM	DESK-1	3.02
44	7/30/2018 10:45:00 AM	DESK-1	3.525
45	7/30/2018 11:00:00 AM	DESK-1	4.03
46	7/30/2018 11:15:00 AM	DESK-1	4.535
47	7/30/2018 11:30:00 AM	DESK-1	5.04
48	7/30/2018 11:45:00 AM	DESK-1	5.545
49	7/30/2018 12:00:00 PM	DESK-1	6.05
50	7/30/2018 12:15:00 PM	DESK-1	6.555
51	7/30/2018 12:30:00 PM	DESK-1	7.06
52	7/30/2018 12:45:00 PM	DESK-1	7.565
53	7/30/2018 1:00:00 PM	DESK-1	8.07
54	7/30/2018 1:15:00 PM	DESK-1	8.575
55	7/30/2018 1:30:00 PM	DESK-1	9.08
56	7/30/2018 1:45:00 PM	DESK-1	9.585
57	7/30/2018 2:00:00 PM	DESK-1	10.09
58	7/30/2018 2:15:00 PM	DESK-1	10.595
59	7/30/2018 2:30:00 PM	DESK-1	11.1
60	7/30/2018 2:45:00 PM	DESK-1	11.605
61	7/30/2018 3:00:00 PM	DESK-1	12.11
62	7/30/2018 3:15:00 PM	DESK-1	12.6125
63	7/30/2018 3:30:00 PM	DESK-1	13.115
64	7/30/2018 3:45:00 PM	DESK-1	13.6175
65	7/30/2018 4:00:00 PM	DESK-1	14.12
66	7/30/2018 4:15:00 PM	DESK-1	14.7
67	7/30/2018 4:30:00 PM	DESK-1	15.28
68	7/30/2018 4:45:00 PM	DESK-1	15.86
69	7/30/2018 5:00:00 PM	DESK-1	16.44
70	7/30/2018 5:15:00 PM	DESK-1	43.99
71	7/30/2018 5:30:00 PM	DESK-1	71.54
72	7/30/2018 5:45:00 PM	DESK-1	99.09
73	7/30/2018 6:00:00 PM	DESK-1	126.64
74	7/30/2018 6:15:00 PM	DESK-1	158.4575
75	7/30/2018 6:30:00 PM	DESK-1	190.275
76	7/30/2018 6:45:00 PM	DESK-1	222.0925
77	7/30/2018 7:00:00 PM	DESK-1	253.91
78	7/30/2018 7:15:00 PM	DESK-1	285.6775
79	7/30/2018 7:30:00 PM	DESK-1	317.445
80	7/30/2018 7:45:00 PM	DESK-1	349.2125
